Country,Life Expectancy_average,Education Index_average
Afghanistan,63.08,0.3983
Albania,77.78,0.7365
Algeria,75.96,0.6524
Andorra,81.36,0.7097
Angola,58.74,0.462
AntiguaandBarbuda,76.42,0.6567
Argentina,75.99,0.8317
Armenia,74.3,0.7409
Australia,82.7,0.919
Austria,81.11,0.8522
Azerbaijan,72.08,0.6854
Bahamas,72.99,0.7324
Bahrain,76.69,0.7168
Bangladesh,71.32,0.4783
Barbados,78.77,0.7709
Belarus,73.16,0.8366
Belgium,80.87,0.8866
Belize,73.67,0.6759
Benin,60.51,0.4529
Bhutan,70.18,0.4529
Bolivia(PlurinationalStateof),69.94,0.6651
BosniaandHerzegovina,76.76,0.6802
Botswana,66.01,0.6546
Brazil,74.82,0.6644
BruneiDarussalam,75.29,0.7026
Bulgaria,74.45,0.7804
BurkinaFaso,59.56,0.2728
Burundi,59.68,0.4098
CaboVerde,72.01,0.5537
Cambodia,68.36,0.4649
Cameroon,57.29,0.5191
Canada,81.92,0.8711
CentralAfricanRepublic,50.42,0.3351
Chad,52.78,0.2804
Chile,79.53,0.7767
China,75.72,0.6331
Colombia,76.39,0.6599
Comoros,63.23,0.4676
Congo,62.65,0.5226
Congo(DemocraticRepublicofthe),58.95,0.4755
CostaRica,79.5,0.7012
Croatia,77.73,0.7898
Cuba,78.55,0.7814
Cyprus,80.23,0.7963
Czechia,78.56,0.8805
C�ted'Ivoire,55.62,0.4103
Denmark,80.31,0.9192
Djibouti,63.64,0.3123
Dominica,77.81,0.6337
DominicanRepublic,73.1,0.6383
Ecuador,76.04,0.6923
Egypt,71.18,0.588
ElSalvador,72.27,0.5675
EquatorialGuinea,57.17,0.4422
Eritrea,64.35,0.2746
Estonia,77.37,0.8775
Eswatini(Kingdomof),54.02,0.5311
Ethiopia,64.51,0.3236
Fiji,67.07,0.7499
Finland,81.07,0.9175
France,82.13,0.8035
Gabon,64.32,0.6214
Gambia,60.8,0.3653
Georgia,72.75,0.819
Germany,80.71,0.9349
Ghana,62.59,0.5442
Greece,81.43,0.8208
Grenada,72.55,0.7452
Guatemala,73.01,0.4857
Guinea,59.29,0.3334
Guinea-Bissau,56.63,0.3903
Guyana,69.09,0.5949
Haiti,62.29,0.4276
Honduras,74.36,0.4849
"HongKong,China(SAR)",83.91,0.8434
Hungary,75.79,0.8213
Iceland,82.42,0.8982
India,68.33,0.5268
Indonesia,70.56,0.6205
Iran(IslamicRepublicof),75.51,0.7294
Iraq,69.7,0.5191
Ireland,81.23,0.8985
Israel,82.25,0.8763
Italy,82.74,0.7861
Jamaica,74.15,0.6873
Japan,83.8,0.834
Jordan,74.01,0.673
Kazakhstan,70.72,0.8065
Kenya,64.22,0.5249
Kiribati,67.13,0.5916
Korea(DemocraticPeople'sRep.of),71.17,
Korea(Republicof),81.85,0.8642
Kuwait,75,0.6184
Kyrgyzstan,70.5,0.7157
LaoPeople'sDemocraticRepublic,66.24,0.4672
Latvia,74.37,0.863
Lebanon,78.71,0.6094
Lesotho,50.13,0.5142
Liberia,61.95,0.4185
Libya,72.23,0.6129
Liechtenstein,80.09,0.8231
Lithuania,74.57,0.8752
Luxembourg,81.45,0.7896
Madagascar,65.27,0.4904
Malawi,60.84,0.4503
Malaysia,75.36,0.7086
Maldives,77.48,0.5433
Mali,57.29,0.2814
Malta,81.76,0.7976
MarshallIslands,72.97,
Mauritania,63.77,0.3752
Mauritius,74.35,0.7128
Mexico,74.96,0.6681
Micronesia(FederatedStatesof),67.22,0.5639
Moldova(Republicof),71.11,0.7076
Mongolia,68.84,0.7367
Montenegro,76.24,0.7931
Morocco,75.59,0.5129
Mozambique,56.61,0.3716
Myanmar,65.49,0.4324
Namibia,61.09,0.5658
Nepal,69.28,0.4931
Netherlands,81.6,0.9016
NewZealand,81.62,0.912
Nicaragua,73.51,0.5484
Niger,60.15,0.2195
Nigeria,52.85,0.4637
NorthMacedonia,75.3,0.6835
Norway,81.82,0.9169
Oman,76.76,0.6923
Pakistan,66.39,0.3704
Palau,72.76,0.8415
"Palestine,Stateof",73.38,0.6679
Panama,77.67,0.6817
PapuaNewGuinea,63.3,0.4219
Paraguay,73.54,0.6229
Peru,75.62,0.7051
Philippines,70.54,0.6553
Poland,77.63,0.8506
Portugal,81.08,0.7477
Qatar,79.69,0.6526
Romania,75.23,0.7685
RussianFederation,70.98,0.8031
Rwanda,66.78,0.45
SaintKittsandNevis,73.87,0.6484
SaintLucia,75.53,0.6563
SaintVincentandtheGrenadines,72.09,0.6702
Samoa,72.57,0.6991
SaoTomeandPrincipe,69.1,0.5143
SaudiArabia,74.57,0.7681
Senegal,66.37,0.3386
Serbia,75.14,0.7584
Seychelles,73.15,0.6993
SierraLeone,52.39,0.3793
Singapore,82.77,0.8223
Slovakia,76.62,0.8207
Slovenia,80.5,0.8834
SolomonIslands,71.95,0.4684
Somalia,55.7,
SouthAfrica,61.71,0.7056
SouthSudan,56.56,0.3124
Spain,82.82,0.8163
SriLanka,76.21,0.7431
Sudan,64.2,0.3258
Suriname,71.16,0.6435
Sweden,82.18,0.8946
Switzerland,83.05,0.8865
SyrianArabRepublic,70.94,0.4615
Tajikistan,69.97,0.6694
Tanzania(UnitedRepublicof),62.42,0.4242
Thailand,75.82,0.6419
Timor-Leste,68.36,0.5004
Togo,59.55,0.4933
Tonga,70.46,0.7516
TrinidadandTobago,72.8,0.7149
Tunisia,75.84,0.6436
Turkey,76.25,0.685
Turkmenistan,67.56,0.631
Uganda,60.71,0.4997
Ukraine,71.11,0.7925
UnitedArabEmirates,77.17,0.7307
UnitedKingdom,80.95,0.9047
UnitedStates,78.87,0.8957
Uruguay,77.32,0.741
Uzbekistan,70.77,0.704
Vanuatu,69.8,0.5365
Venezuela(BolivarianRepublicof),72.63,0.7082
VietNam,75.1,0.6142
Yemen,65.98,0.3412
Zambia,60.64,0.5386
Zimbabwe,57.71,0.5555
