,Region,Country/Territory,2011,2021,Type,2015,2019,2010,Country Code,Year,Value,2017
0,Middle East and North Africa,Afghanistan,7.6,10.9,Country,6.6,9.2,8.6,AFG,2017,9.59,9.6
1,Europe,Albania,2.8,10.2,Country,12.0,9.0,4.5,ALB,2017,10.08,10.1
2,Middle East and North Africa,Algeria,7.0,7.1,Country,6.8,6.7,8.5,DZA,2017,6.73,6.7
3,Europe,Andorra,5.4,9.7,Country,11.0,7.7,6.6,AND,2017,7.97,8.0
4,Africa,Angola,2.9,4.6,Country,3.3,4.5,3.5,AGO,2017,3.94,3.9
5,North America and Caribbean,Antigua and Barbuda,12.5,11.7,Country,13.0,13.1,7.1,ATG,2017,13.17,13.2
6,South and Central America,Argentina,5.5,5.4,Country,6.2,5.9,5.7,ARG,2017,5.5,5.5
7,Europe,Armenia,8.5,5.6,Country,7.2,6.1,7.8,ARM,2017,7.11,7.1
8,North America and Caribbean,Aruba,12.4,4.3,Country,14.0,11.6,10.2,ABW,2017,11.62,11.6
9,Western Pacific,Australia,6.6,6.4,Country,6.3,5.6,5.7,AUS,2017,5.07,5.1
10,Europe,Austria,6.6,4.6,Country,9.5,6.6,8.9,AUT,2017,6.35,6.4
11,Europe,Azerbaijan,2.8,5.6,Country,6.3,6.1,7.5,AZE,2017,7.11,7.1
12,Middle East and North Africa,Bahrain,19.5,11.3,Country,15.0,15.6,15.4,BHR,2017,16.52,16.5
13,South-East Asia,Bangladesh,10.5,14.2,Country,7.4,9.2,6.6,BGD,2017,8.38,8.4
14,North America and Caribbean,Barbados,12.4,14.0,Country,17.0,13.4,8.0,BRB,2017,13.57,13.6
15,Europe,Belarus,8.0,5.6,Country,6.5,5.0,7.6,BLR,2017,5.18,5.2
16,Europe,Belgium,4.8,3.6,Country,6.7,4.6,5.3,BEL,2017,4.29,4.3
17,North America and Caribbean,Belize,17.0,14.5,Country,14.0,17.1,9.8,BLZ,2017,17.11,17.1
18,Africa,Benin,2.0,1.1,Country,0.6,1.0,4.6,BEN,2017,0.99,1.0
19,North America and Caribbean,Bermuda,12.0,13.0,Country,15.0,6.7,10.2,BMU,2017,13.0,13.0
20,South-East Asia,Bhutan,5.7,10.4,Country,7.9,10.3,3.6,BTN,2017,9.75,9.8
21,Europe,Bosnia and Herzegovina,7.5,9.1,Country,12.0,9.0,7.1,BIH,2017,10.08,10.1
22,Africa,Botswana,10.8,5.2,Country,4.0,5.8,5.4,BWA,2017,4.81,4.8
23,South and Central America,Brazil,10.1,8.8,Country,10.0,10.4,6.4,BRA,2017,8.11,8.1
24,North America and Caribbean,British Virgin Islands,8.6,8.7,Country,14.0,14.2,10.2,VGB,2017,13.67,13.7
25,Europe,Bulgaria,6.7,7.4,Country,8.4,6.0,6.5,BGR,2017,5.81,5.8
26,Africa,Burkina Faso,3.0,2.1,Country,1.8,7.3,3.8,BFA,2017,2.42,2.4
27,Africa,Burundi,2.7,6.5,Country,2.3,5.1,1.8,BDI,2017,6.05,6.0
28,Western Pacific,Cambodia,2.9,7.3,Country,2.6,6.4,5.2,KHM,2017,4.0,4.0
29,Africa,Cameroon,6.1,5.5,Country,5.3,6.0,3.9,CMR,2017,7.2,7.2
30,North America and Caribbean,Canada,8.4,7.7,Country,9.5,7.6,9.2,CAN,2017,7.37,7.4
31,North America and Caribbean,Cayman Islands,12.0,13.0,Country,13.0,6.8,10.2,CYM,2017,13.22,13.2
32,Africa,Central African Republic,3.2,5.8,Country,5.2,6.0,4.5,CAF,2017,6.1,6.1
33,Africa,Chad,3.9,5.8,Country,4.5,6.0,3.7,TCD,2017,6.1,6.1
34,Europe,Channel Islands,4.9,6.3,Country,5.7,3.9,3.0,CHI,2017,4.28,4.3
35,South and Central America,Chile,9.5,10.8,Country,11.0,8.6,5.7,CHL,2017,8.46,8.5
36,Western Pacific,China,8.8,10.6,Country,10.0,9.2,4.2,CHN,2017,9.74,9.7
37,South and Central America,Colombia,9.8,8.3,Country,9.6,7.4,5.2,COL,2017,7.44,7.4
38,Africa,Comoros,8.4,11.7,Country,7.5,12.3,3.4,COM,2017,11.88,11.9
39,South and Central America,Costa Rica,9.6,8.8,Country,8.6,9.1,9.3,CRI,2017,8.78,8.8
40,Europe,Croatia,5.2,4.8,Country,6.8,5.4,6.9,HRV,2017,5.59,5.6
